t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3
6120,5768073.1,-501036.07,3622966.5,-4094.6242,-903.40531,6382.7679,-4081944.2,-768950.76,5427321.7,-6133.9561,623.66167,-4510.8676,-4888517.7,657226.29,-4724700.1,5335.1281,768.34658,-5406.7157
6180,5509605.1,-554072.71,3997468.4,-4517.7204,-863.82175,6095.9485,-4440567.4,-729837.32,5144681.1,-5815.6758,679.63501,-4906.9728,-4557672.9,701816.84,-5038216.1,5688.8773,717.45218,-5039.9155
6240,5226355.9,-604617.25,4353932.1,-4920.3562,-820.36703,5781.7233,-4779303,-687455.22,4838924.5,-5471.2817,732.57569,-5281.108,-4206366.1,743256.55,-5329039,6016.9471,663.35809,-4650.5676
6300,4919607.6,-652443.28,4690755.8,-5300.7325,-773.2395,5441.5307,-5096629.6,-641993.68,4511421.5,-5102.3128,782.24435,-5631.5762,-3836181.9,781360.7,-5595868.5,6317.8912,606.30869,-4240.4364
6360,4590747.2,-697336.81,5006427.5,-5657.1551,-722.65357,5076.9228,-5391122,-593655.85,4163640.6,-4710.4229,828.41609,-5956.7851,-3448788.2,815959.62,-5837512.7,6590.3874,546.56078,-3811.3733
6420,4241259.8,-739097.12,5299531.3,-5988.0416,-668.83853,4689.5571,-5661457.1,-542657.89,3797142.2,-4297.3741,870.88151,-6255.2553,-3045928.3,846899.38,-6052893.2,6833.2421,484.38232,-3365.3087
6480,3872722.3,-777537.7,5568754.2,-6291.9277,-612.03751,4281.189,-5906420.9,-489228.06,3413572,-3865.0284,909.44788,-6525.6276,-2629413.2,874042.44,-6241049.6,7045.3948,420.05124,-2904.2427
6540,3486795.4,-812487.01,5812890.8,-6567.4726,-552.50622,3853.6626,-6124913.6,-433605.64,3014653.5,-3415.3394,943.94015,-6766.671,-2201113.5,897268.2,-6401143.5,7225.9208,353.85423,-2430.2367
6600,3085216.7,-843789.18,6030849,-6813.4639,-490.5118,3408.9023,-6315955.4,-376039.86,2602180.1,-2950.3435,974.20186,-6977.2887,-1762951.1,916473.51,-6532461.5,7374.0348,286.08554,-1945.4041
6660,2669792.5,-871304.7,6221654.3,-7028.8216,-426.33162,2948.9042,-6478690.8,-316788.78,2178006.6,-2472.1501,1000.096,-7156.5245,-1316890.6,931573.04,-6634418.6,7489.0927,217.0457,-1451.9024
6720,2242389.7,-894910.98,6384453.9,-7212.6022,-360.25201,2475.7272,-6612392.9,-256118.04,1744041.1,-1982.9313,1021.5058,-7303.5676,-864931.17,942499.68,-6706560.2,7570.5941,147.04036,-951.92336
6780,1804928,-914502.84,6518520.2,-7364.001,-292.5671,1991.4843,-6716466.5,-194299.7,1302235.7,-1484.9109,1038.3353,-7417.7576,-409097.63,949204.76,-6748564.2,7618.1833,76.379027,-447.68504
6840,1359370.6,-929992.94,6623253.8,-7482.3553,-223.57752,1498.3334,-6790451.5,-131610.92,854577.49,-980.35396,1050.51,-7498.5875,48568.282,951658.28,-6760241.9,7631.6504,5.3739041,58.577304
6900,907716.68,-941312.16,6698185.9,-7567.1463,-153.58923,998.4687,-6834024.2,-68332.673,403079.48,-471.55467,1057.9769,-7545.7067,506016.61,949849.03,-6741539.3,7610.9322,-65.661371,564.6198
6960,451991.9,-948409.87,6742980.2,-7618.0003,-82.912263,494.11206,-6846999.4,-4748.473,-50229.151,39.174855,1060.7053,-7558.9227,961198.02,943784.6,-6692536.8,7556.1124,-136.41291,1068.1987
7020,-5759.9737,-951254.12,6757434.3,-7634.6903,-11.859515,-12.49615,-6829330.9,58856.999,-503312.4,549.5165,1058.6863,-7538.2015,1412072.6,933491.41,-6613449.4,7467.4212,-206.5678,1567.0792
7080,-463485.97,-949831.79,6741480.6,-7617.1368,59.254486,-519.10569,-6781111.4,122199.2,-954136.97,1057.1578,1051.9335,-7483.6676,1856618.6,919014.61,-6504625.6,7345.2352,-275.81531,2059.044
7140,-919132.78,-944148.65,6695186.6,-7565.4077,130.1148,-1023.4653,-6702571.9,184995.04,-1400681.8,1559.8038,1040.4821,-7395.6027,2292841.2,900417.87,-6366546.3,7190.0762,-343.84815,2541.9024
7200,-1370655.6,-934229.37,6618754.7,-7479.7187,200.40732,-1523.3315,-6594080.3,246964.21,-1840947.3,2055.188,1024.3892,-7274.4434,2718781.5,877783.18,-6199822.6,7002.6099,-410.36367,3013.4988
